agent model,guess model,general,Search,Lookup,Finish,normal_avg_searchtime,sim_avg_searchtime
google/gemini-2.5-flash,openai/gpt-4.1-nano,0.4625,0.3408333333333334,0.15,0.45,0.5320294096692842,1.3549613886865663
google/gemini-2.5-flash,openai/gpt-3.5-turbo,0.4133333333333333,0.27499999999999997,0.1,0.45,0.5588759768920551,0.8794045024156889
google/gemini-2.5-flash,google/gemini-2.5-flash,0.3833333333333333,0.33666666666666667,0.075,0.4,0.5601226966669839,0.9056379057221402
google/gemini-2.5-flash,google/gemini-2.5-flash-lite,0.4725,0.29583333333333334,0.1,0.65,0.4872505885187032,0.7428989585610716
openai/gpt-4,openai/gpt-4.1-nano,0.3225,0.37916666666666665,0.0,0.2,0.5778368012835771,2.385768344995976
openai/gpt-4,openai/gpt-3.5-turbo,0.4083333333333334,0.3616666666666667,0.18666666666666668,0.35,0.5492036806295731,0.8714461583904146
openai/gpt-4,google/gemini-2.5-flash,0.26666666666666666,0.24916666666666668,0.1875,0.15,0.536614436613163,0.9270535076605961
openai/gpt-4,google/gemini-2.5-flash-lite,0.4875,0.4,0.18333333333333332,0.5,0.5986879983016047,0.832342303021093
openai/gpt-5,openai/gpt-4.1-nano,0.6277777777777779,0.43333333333333335,0.1,0.4666666666666667,0.4792110370653164,1.4459963206316913
openai/gpt-5,google/gemini-2.5-flash-lite,0.7,0.55,0.1,0.4,0.5207891146827024,0.8675113158960205
