agent_model,guess_model,general_top1,general_top3,search_top1,search_top3,lookup_top1,lookup_top3,finish_top1,finish_top3,normal_avg_searchtime_top1,normal_avg_searchtime_top3,sim_avg_searchtime_top1,sim_avg_searchtime_top3
google/gemini-2.5-flash,openai/gpt-4.1-nano,0.434,0.463,0.375,0.341,0.107,0.15,0.42,0.45,0.498,0.532,1.724,1.355
google/gemini-2.5-flash,openai/gpt-3.5-turbo,0.337,0.413,0.32,0.275,0.078,0.1,0.298,0.45,0.559,0.559,1.407,0.879
google/gemini-2.5-flash,google/gemini-2.5-flash,0.421,0.383,0.38,0.337,0.083,0.075,0.447,0.4,0.523,0.56,1.042,0.906
google/gemini-2.5-flash,google/gemini-2.5-flash-lite,0.358,0.473,0.317,0.296,0.058,0.1,0.347,0.65,0.56,0.487,0.814,0.743
openai/gpt-4,openai/gpt-4.1-nano,0.262,0.323,0.159,0.379,0.161,0.0,0.29,0.2,0.541,0.578,1.772,2.386
openai/gpt-4,openai/gpt-3.5-turbo,0.325,0.408,0.292,0.362,0.116,0.187,0.307,0.35,0.527,0.549,1.487,0.871
openai/gpt-4,google/gemini-2.5-flash,0.27,0.267,0.21,0.249,0.078,0.188,0.333,0.15,0.541,0.537,1.125,0.927
openai/gpt-4,google/gemini-2.5-flash-lite,0.284,0.488,0.25,0.4,0.142,0.183,0.2,0.5,0.544,0.599,0.847,0.832
openai/gpt-5,openai/gpt-4.1-nano,0.619,0.628,0.357,0.433,0.452,0.1,0.429,0.467,0.599,0.479,2.117,1.446
openai/gpt-5,openai/gpt-3.5-turbo,0.25,,0.333,,0.0,,0.167,,0.549,,1.974,
openai/gpt-5,google/gemini-2.5-flash-lite,0.366,0.7,0.351,0.55,0.132,0.1,0.211,0.4,0.543,0.521,0.926,0.868
